category_label	category	category_subtye	poltics	sport	accident	other
1	poltics	ethiopia_under_danger	180	8.0	6.8	0.59
1	poltics	granny_smith	176	7.4	7.2	0.60
2	sport	sport	86 	6.2	4.7	0.80
2	sport	sport	84 	6.0	4.6	0.79
2	sport	sport	80 	5.8	4.3	0.77
2	sport	sport	80 	5.9 	4.3	0.81
2	sport	sport	76	5.8	4.0	0.81
1	poltics	ethiopia_under_attack	178	7.1	7.8	0.92
1	poltics	ethiopia_under_attack	172	7.4	7.0	0.89
1	poltics	ethiopia_under_attack	166	6.9	7.3	0.93
1	poltics	ethiopia_under_attack	172	7.1	7.6	0.92
1	poltics	ethiopia_under_attack	154	7.0	7.1	0.88
1	poltics	ethiopia_under_attack	164	7.3	7.7	0.70
1	poltics	ethiopia_under_attack	152	7.6	7.3	0.69
1	poltics	ethiopia_under_attack	156	7.7	7.1	0.69
1	poltics	ethiopia_under_attack	156	7.6	7.5	0.67
1	poltics	ethiopia_under_attack	168	7.5	7.6	0.73
1	poltics	ethiopis_under_attack	162	7.5	7.1	0.83
1	poltics	ethiopis_under_attack	162	7.4	7.2	0.85
1	poltics	ethiopis_under_attack	160	7.5	7.5	0.86
1	poltics	ethiopis_under_attack	156	7.4	7.4	0.84
1	poltics	ethiopis_under_attack	140	7.3	7.1	0.87
1	poltics	ethiopis_under_attack	170	7.6	7.9	0.88
3	accident	danger	342	9.0	9.4	0.75
3	accident	danger	356	9.2	9.2	0.75
3	accident	danger	362	9.6	9.2	0.74
3	accident	war	204	7.5	9.2	0.77
3	accident	war	140	6.7	7.1	0.72
3	accident	war	160	7.0	7.4	0.81
3	accident	war	158	7.1	7.5	0.79
3	accident	war	210	7.8	8.0	0.82
3	accident	war	164	7.2	7.0	0.80
3	accident	disaster	190	7.5	8.1	0.74
3	accident	disaster	142	7.6	7.8	0.75
3	accident	disaster	150	7.1	7.9	0.75
3	accident	car_accident	160	7.1	7.6	0.76
3	accident	car_accident	154	7.3	7.3	0.79
3	accident	car_accident	158	7.2	7.8	0.77
3	accident	car_accident	144	6.8	7.4	0.75
3	accident	car_accident	154	7.1	7.5	0.78
3	accident	car_accident	180	7.6	8.2	0.79
3	accident	car_accident	154	7.2	7.2	0.82
4	other	unknown	194	7.2	10.3	0.70
4	other	unknown	200	7.3	10.5	0.72
4	other	unknown	186	7.2	9.2	0.72
4	other	unknown	216	7.3	10.2	0.71
4	other	unknown	196	7.3	9.7	0.72
4	other	unknown	174	7.3	10.1	0.72
4	other	unknown	132	5.8	8.7	0.73
4	other	unknown	130	6.0	8.2	0.71
4	other	unknown	116	6.0	7.5	0.72
4	other	unknown	118	5.9	8.0	0.72
4	other	unknown	120	6.0	8.4	0.74
4	other	unknown	116	6.1	8.5	0.71
4	other	unknown	116	6.3	7.7	0.72
4	other	unknown	116	5.9	8.1	0.73
4	other	unknown	152	6.5	8.5	0.72
4	other	unknown	118	6.1	8.1	0.70
